maps_x,maps_y
27.53083599,120.4075356
28.92534025,118.5560107
30.99209283,119.8999918
30.99209283,119.8999918
30.54694772,120.0556401
30.53781257,119.9536097
29.63058771,121.4601725
30.00326939,119.9873305
30.53603079,120.6811857
30.4411153,120.3868893
30.24592575,120.1783866
30.29347871,120.2083685
30.8648736,120.0189277
29.5760314,119.4224241
28.77591569,118.6394521
30.85256653,120.9141701
30.79040238,120.9312388
30.76676718,120.7591486
30.69323484,120.7955505
29.11368932,119.6312363
29.11714694,119.7338481
28.66360459,120.0906815
28.68068812,120.0514226
28.99451721,118.3565106
29.21643464,119.4746902
28.08797801,120.8552164
28.88306998,121.2424316
28.44517652,119.9494678
29.00605871,119.1603617
29.86405529,121.5321371
29.33844341,121.4158381
22.69460916,114.1198699
27.62922761,120.5411954
29.7384477,119.1865031
28.13964677,120.2753993
28.92752091,118.8761747
27.77024759,120.578426
28.4813436,121.3211568
31.58921359,120.2986991
30.00376484,120.8529061
30.01689277,120.5753469
30.1022569,120.5344199
30.10257179,120.5338356
28.19991505,120.9877241
28.6889031,121.2858617
29.79234524,119.7275008
30.53992373,120.5632133
28.48216646,121.3205409
27.98345542,120.6810376
27.96919194,120.58144
28.91131319,119.8260415
28.9853856,119.8448678
28.34450295,121.1477868
29.38087641,120.0386637
28.07279875,120.6914576
28.91244799,120.0163472
28.85384014,120.0194051
30.38317158,120.2915465
30.05691132,121.1568431
30.10098602,121.163844
29.92597466,121.5313746
29.73006346,120.180737
