maps_x,maps_y
32.15116061,119.0501134
32.50109692,120.8764159
34.0609176,119.8548169
31.78736436,119.9684986
31.85609375,119.9507878
32.0040508,119.5879181
32.01714388,119.6661795
34.51808169,118.762896
33.5957508,119.6119147
33.80079985,119.9336437
34.87989823,119.1062472
32.54958566,120.499945
31.9277014,121.1773679
33.64972706,119.0278751
31.33741866,121.0411319
31.67237212,120.1975
32.46085652,119.5735675
31.93853452,118.8936002
31.82575449,118.5906624
32.53643602,120.1138296
31.83505429,118.9749071
31.36797299,120.9529588
31.35504663,120.9465453
34.61005169,119.1573083
34.71899319,119.3352674
31.68063411,119.0910315
31.38776851,119.497453
32.08921915,118.7920932
31.97071931,118.7927393
32.07040324,120.8560435
34.3186003,117.9533512
31.85879821,121.6407924
31.72503179,120.062606
32.44736435,121.1725531
32.38539022,120.6017916
33.68378589,120.0145089
34.1131213,118.7587671
33.75568858,118.7085778
31.33182843,120.6064903
31.4236797,120.6390472
31.37399785,120.5207617
31.34323856,120.7064736
32.53107144,119.9756461
31.56055642,119.269114
31.58904959,120.3009211
31.58730859,120.3017421
31.50023548,120.3873141
34.19328548,119.6829809
32.12499198,118.9079662
34.38191288,118.341556
34.26659478,117.2016314
34.26888647,117.2992648
33.38400711,120.1689577
33.45009778,120.0975333
31.38241353,120.8577648
33.79224459,118.3616826
32.39193541,119.34552
31.31370693,119.8090318
32.19924481,119.4270212
32.15427458,119.4188882
